#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABCC4	LRP2	9606.ENSP00000366084	9606.ENSP00000263816	0	0	0	0	0	0	0	0.609	0.609
ABCC4	SLC9A3	9606.ENSP00000366084	9606.ENSP00000264938	0	0	0	0	0	0.056	0	0.451	0.459
ACSL4	SLC7A11	9606.ENSP00000339787	9606.ENSP00000280612	0	0	0	0	0	0	0	0.499	0.499
ACSL4	SCD5	9606.ENSP00000339787	9606.ENSP00000316329	0	0	0	0	0.145	0.369	0	0.329	0.606
ACTN2	RASGRF2	9606.ENSP00000443495	9606.ENSP00000265080	0	0	0	0	0.090	0.147	0.500	0.085	0.597
ACTN2	CTNNA2	9606.ENSP00000443495	9606.ENSP00000384638	0	0	0	0	0.088	0.153	0	0.303	0.414
ACTN2	CKMT2	9606.ENSP00000443495	9606.ENSP00000404203	0	0	0	0	0.286	0.057	0	0.304	0.490
ACTN2	CRYAB	9606.ENSP00000443495	9606.ENSP00000433560	0	0	0	0	0.201	0.149	0	0.341	0.513
ACTN2	DTNA	9606.ENSP00000443495	9606.ENSP00000470152	0	0	0	0	0.152	0.158	0	0.244	0.413
ACTN2	HMCN2	9606.ENSP00000443495	9606.ENSP00000485357	0	0	0	0	0.112	0.170	0	0.296	0.435
ACTN2	OBSCN	9606.ENSP00000443495	9606.ENSP00000455507	0	0	0	0	0.144	0.142	0	0.404	0.524
ACTN2	MYH3	9606.ENSP00000443495	9606.ENSP00000464317	0	0	0	0	0.166	0.880	0.600	0.492	0.977
ADM2	MAPK8IP2	9606.ENSP00000379087	9606.ENSP00000330572	0	0	0	0	0.088	0	0	0.720	0.733
AFP	BPIFB2	9606.ENSP00000379138	9606.ENSP00000170150	0	0	0	0	0.530	0	0	0.061	0.540
AFP	SOX9	9606.ENSP00000379138	9606.ENSP00000245479	0	0	0	0	0	0	0	0.492	0.492
AFP	NTS	9606.ENSP00000379138	9606.ENSP00000256010	0	0	0	0	0.736	0	0	0.261	0.796
AFP	IGF2BP3	9606.ENSP00000379138	9606.ENSP00000258729	0	0	0	0	0.245	0	0	0.261	0.418
AFP	EPCAM	9606.ENSP00000379138	9606.ENSP00000263735	0	0	0	0	0.065	0	0	0.715	0.722
AFP	MCM2	9606.ENSP00000379138	9606.ENSP00000265056	0	0	0	0	0.088	0	0	0.438	0.465
AFP	THY1	9606.ENSP00000379138	9606.ENSP00000284240	0	0	0	0	0.088	0	0	0.571	0.592
AFP	BUB1B	9606.ENSP00000379138	9606.ENSP00000287598	0	0	0	0	0.099	0	0	0.452	0.485
AFP	GLUL	9606.ENSP00000379138	9606.ENSP00000307900	0	0	0	0	0	0	0	0.535	0.535
AFP	FGF13	9606.ENSP00000379138	9606.ENSP00000322390	0	0	0	0	0	0	0	0.405	0.405
AFP	FOXM1	9606.ENSP00000379138	9606.ENSP00000342307	0	0	0	0	0.099	0.057	0	0.370	0.418
AFP	MKI67	9606.ENSP00000379138	9606.ENSP00000357643	0	0	0	0	0.089	0	0	0.392	0.422
AFP	MMP9	9606.ENSP00000379138	9606.ENSP00000361405	0	0	0	0	0.062	0.141	0	0.432	0.503
AFP	DKK1	9606.ENSP00000379138	9606.ENSP00000363081	0	0	0	0	0.089	0	0	0.416	0.445
AFP	GOLM1	9606.ENSP00000379138	9606.ENSP00000373364	0	0	0	0	0	0	0	0.736	0.736
AFP	GPC3	9606.ENSP00000379138	9606.ENSP00000377836	0	0	0	0	0.556	0	0	0.856	0.933
AFP	SPP1	9606.ENSP00000379138	9606.ENSP00000378517	0	0	0	0	0.078	0	0	0.536	0.553
AFP	PAEP	9606.ENSP00000379138	9606.ENSP00000417898	0	0	0	0	0	0	0	0.414	0.414
AFP	CDKN2A	9606.ENSP00000379138	9606.ENSP00000418915	0	0	0	0	0	0	0	0.424	0.424
AFP	MDK	9606.ENSP00000379138	9606.ENSP00000385451	0	0	0	0	0.088	0	0	0.418	0.446
AFP	ENO2	9606.ENSP00000379138	9606.ENSP00000437402	0	0	0	0	0.055	0	0	0.710	0.714
AGR2	EPCAM	9606.ENSP00000391490	9606.ENSP00000263735	0	0	0	0	0.322	0	0	0.351	0.541
AGR2	STC2	9606.ENSP00000391490	9606.ENSP00000265087	0	0	0	0	0	0	0	0.495	0.495
AGR2	TFF1	9606.ENSP00000391490	9606.ENSP00000291527	0	0	0	0	0.547	0	0	0.512	0.769
AGR2	GCNT3	9606.ENSP00000391490	9606.ENSP00000379377	0	0	0	0	0.088	0	0	0.406	0.435
AHRR	LAMA4	9606.ENSP00000323816	9606.ENSP00000230538	0	0	0	0	0	0	0	0.444	0.444
AHRR	CYP1B1	9606.ENSP00000323816	9606.ENSP00000478561	0	0	0	0	0.086	0	0	0.641	0.658
AIF1L	ASPM	9606.ENSP00000361383	9606.ENSP00000356379	0	0	0	0	0.052	0.371	0	0.288	0.538
ALDH3A1	EPCAM	9606.ENSP00000411821	9606.ENSP00000263735	0	0	0	0	0	0	0	0.575	0.575
ALDH3A1	GABRA2	9606.ENSP00000411821	9606.ENSP00000421828	0	0	0	0	0.064	0.057	0	0.427	0.450
ALDH3A1	CYP1B1	9606.ENSP00000411821	9606.ENSP00000478561	0	0	0	0	0.062	0.061	0	0.620	0.636
ANKRD22	CDKN2C	9606.ENSP00000360998	9606.ENSP00000262662	0	0	0.434	0	0	0	0	0	0.434
ANKRD22	ANKRD29	9606.ENSP00000360998	9606.ENSP00000468354	0	0	0.422	0	0	0	0	0	0.422
ANKRD22	TMEM156	9606.ENSP00000360998	9606.ENSP00000371364	0	0	0	0	0.062	0	0	0.432	0.445
ANKRD29	LAMA3	9606.ENSP00000468354	9606.ENSP00000324532	0	0	0	0	0.107	0	0	0.371	0.414
ANLN	TRIP13	9606.ENSP00000265748	9606.ENSP00000166345	0	0	0	0	0.789	0.270	0	0.168	0.861
ANLN	CDC6	9606.ENSP00000265748	9606.ENSP00000209728	0	0	0	0	0.572	0	0	0.203	0.645
